new_dataset_id,task_id,dataset_id,description,affiliation,task,sensitive_standard,link,further,variants,SHOULD CODE?,STATUS,dataset_sub_id,dataset_sub_description,dataset_name,continent,country
ORG-001-DS-0,ORG-001-01,ORG-001,"this dataset was collected and maintained by FiveThirtyEight, a website specialized in opinion poll analysis. This resource was developed with the goal of providing an aggregated estimate based on multiple polls, weighting each input according to sample size, recency, and historical accuracy of the polling organization. For each poll, the dataset provides the period of data collection, its sample size, the pollster conducting it, their rating, and a url linking to the source data",FiveThirtyEight,fair classification,none,http://projects.fivethirtyeight.com/general-model/president_general_polls_2016.csv,https://projects.fivethirtyeight.com/2016-election-forecast/,NA,YES,DONE,0,NA,NA,NA,USA
ORG-006-DS-0,ORG-006-01,ORG-006,"this dataset was created as a resource to benchmark the performance of machine learning algorithms on socially relevant data. Each instance is a person who responded to the March 1994 US Current Population Survey, represented along demographic and socio-economic dimensions, with features describing their profession, education, age, sex, race, personal and financial condition. The dataset was extracted from the census database, preprocessed, and donated to UCI Machine Learning Repository in 1996 by Ronny Kohavi and Barry Becker. A binary variable encoding whether respondents' income is above \$50,000 was chosen as the target of the prediction task associated with this resource. See Appendix \ref{sec:adult} for extensive documentation",Silicon Graphics Inc,fair classification,age; marital status; race;  sex,https://archive.ics.uci.edu/ml/datasets/adult,"\citet{kohavi1996scaling,kohavi1994adult_uci,usdeptcomm1995current,hardt2021facing,mckenna2019:history,mckenna2019:history_drb}",NA,YES,DONE,0,Prediction task is to determine whether a person makes over 50K a year.,Adult,NA,USA
ORG-006-DS-1,ORG-006-01,ORG-006,"this dataset was created as a resource to benchmark the performance of machine learning algorithms on socially relevant data. Each instance is a person who responded to the March 1994 US Current Population Survey, represented along demographic and socio-economic dimensions, with features describing their profession, education, age, sex, race, personal and financial condition. The dataset was extracted from the census database, preprocessed, and donated to UCI Machine Learning Repository in 1996 by Ronny Kohavi and Barry Becker. A binary variable encoding whether respondents' income is above \$50,000 was chosen as the target of the prediction task associated with this resource. See Appendix \ref{sec:adult} for extensive documentation",Silicon Graphics Inc,fair classification,age; marital status; race;  sex,https://archive.ics.uci.edu/ml/datasets/adult,"\citet{kohavi1996scaling,kohavi1994adult_uci,usdeptcomm1995current,hardt2021facing,mckenna2019:history,mckenna2019:history_drb}",NA,YES,DONE,1,Semi-synthetic version fo Adult generated in creager2021exchanging. No code available for this one.,ConfoundedAdult,NA,USA
ORG-014-DS-0,ORG-014-01,ORG-014,"data provenance for this set of patient records seems uncertain. The first work referencing this dataset dates to 1997 and details a machine learning approach for the diagnosis of arrhythmia, which presumably motivated its collection. Each data point describes a different patient; features include demographics, weight and height and clinical measurements from ECG signals, along with the diagnosis of a cardiologist into 16 different classes of arrhythmia (including none), which represents the target variable",Bilkent University; Baskent University,fair classification,age; sex,https://archive.ics.uci.edu/ml/datasets/arrhythmia,\citet{guvenir1997supervised},NA,YES,DONE,0,Distinguish between the presence and absence of cardiac arrhythmia.,Arrhythmia,AS,TUR
ORG-017-DS-0,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,age; marital status; property,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,0,Dataset with additional columns. (N = 41188),Bank; Bank Marketing; Marketing,EU,PRT
ORG-017-DS-1,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,NA,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,1,Smaller subset of the dataset with additional columns.,Bank; Bank Marketing; Marketing,EU,PRT
ORG-017-DS-2,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,NA,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,2,"The original dataset (slightly fewer columns than the"" additional"" ones, but more rows at N = 45211)",Bank; Bank Marketing; Marketing,EU,PRT
ORG-017-DS-3,ORG-017-01,ORG-017,"often simply called \emph{Bank} dataset in the fairness literature, this resource was produced to support a study of success factors in telemarketing of long-term deposits within a Portuguese bank, with data collected over the period 2008--2010. Each data point represents a telemarketing phone call and includes client-specific features (e.g. job, education), features about the marketing phone call (e.g. day of the week and duration) and meaningful environmental features (e.g. euribor). The classification target is a binary variable indicating client subscription to a term deposit","Instituto Universitário de Lisboa (ISCTE-IUL), ISTAR, Lisboa; University of Minho",fair classification,NA,https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,\citet{moro2014datadriven},NA,YES,DONE,3,Smaller subset of the original dataset.,Bank; Bank Marketing; Marketing,EU,PRT
ORG-020-DS-0,ORG-020-01,ORG-020,"this dataset holds anonymized student records at UC Berkeley from Spring 2012 through Fall 2019. It consistst of enrollment information on a per-semester basis for tens of thousands of students. For each enrollment, student course scores are provided, along with student demographic information, including gender, race, entry status and parental income. The dataset supports evaluations of equity in educational outcome as well as grade predictions for academic support interventions. It is maintained by the University's Enterprise Data and Analytics unit","University of California, Berkeley",fair classification,gender; race; property,NA,\citet{jiang2021towards},NA,YES,DONE,0,NA,NA,NA,USA
ORG-039-DS-0,ORG-039-01,ORG-039,"this dataset was curated to develop a software tool supporting the work of US police departments. It was especially aimed at identifying similar precincts to exchange best practices and share experiences among departments. The creators were supported by the police departments of Camden (NJ) and Philadelphia (PA). The factors included in the dataset were the ones deemed most important to define similarity of communities from the perspective of law enforcement; they were chosen with the help of law enforcement officials from partner institutions and academics of criminal justice, geography and public policy. The dataset includes socio-economic factors (aggregate data on age, income, immigration, and racial composition) obtained from the 1990 US census, along with information about policing (e.g. number of police cars available) based on the 1990 Law Enforcement Management and Administrative Statistics survey, and crime data derived from the 1995 FBI Uniform Crime Reports. In its released version on UCI, the task associated with the dataset is predicting the total number of violent crimes per 100K population in each community. The most referenced version of this dataset was preprocessed with a normalization step; after receiving multiple requests, the creators also published an unnormalized version",La Salle University; Rutgers University,fair classification,race; age; property; marital status; familial status; birth status; nationality; language; receipient of public assistance,https://archive.ics.uci.edu/ml/datasets/communities+and+crime and http://archive.ics.uci.edu/ml/datasets/communities+and+crime+unnormalized,\citet{redmond2002datadriven},NA,YES,DONE,0,Data on prevalence of crime in communities,Communities; Communities and Crime,NA,USA
