new_dataset_id,name,paper,org_id,task_id,task,data_spec,STATUS,is_prediction_task,info_target,info_features,info_protected,col_protected,protected_processing_standard
ORG-001-DS-0,NA,sabato2020bounding,ORG-001,ORG-001-01,fair classification,tabular data,DONE,No,Not Applicable,Not Applicable,Not Applicable,sabato2020bounding,NA
ORG-006-DS-0,Adult,sharma2020:cc,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""race"": ""race""}",NA
ORG-006-DS-0,Adult,cardoso2019framework,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,oneto2019taking,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,friedler2019comparative,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,chen2018why,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,lipton2018does,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,pleiss2017fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,diciccio2020evaluating,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,speicher2018unified,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,feldman2015certifying,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,maity2021statistical,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,kim2020fact,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,liu2019implicit,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,williamson2019fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,vonkugelgen2021fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""native-country"": ""nationality"", ""age"" : ""age""}",NA
ORG-006-DS-0,Adult,ngong2020towards,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,No,?,NA
ORG-006-DS-0,Adult,jabbari2020empirical,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,huan2020fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,zliobaite2015relation,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,islam2021can,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""native-country"": ""nationality"", ""race"" : ""race""}",NA
ORG-006-DS-0,Adult,segal2021fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,he2020geometric,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""age"": ""age""}",NA
ORG-006-DS-0,Adult,sharma2020data,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,goel2018nondiscriminatory,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,raff2018fair,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,zhang2018mitigating,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,No,?,NA
ORG-006-DS-0,Adult,hu2020fair,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Guessable,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,celis2019classification,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,yang2020fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,No,No,Yes,"{""sex"": ""sex"", ""race"": ""race"", ""age"": ""age""}",NA
ORG-006-DS-0,Adult,cho2020fair,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,savani2020intraprocessing,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""gender"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,wu2019cpfairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,donini2018empirical,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,quadrianto2017recycling,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,calmon2017optimized,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,xu2020algorithmic,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,zhang2017achieving,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,yurochkin2021sensei,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Guessable,"{""sex"": ""sex"", ""race"": ""race"", ""marital-status"": ""marital_status""}",NA
ORG-006-DS-0,Adult,vargo2021individually,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Guessable,"{""sex"": ""sex"", ""race"": ""race"",""marital-status"": ""marital_status""}",NA
ORG-006-DS-0,Adult,chuang2021fair,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,roh2021fairbatch,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,yurochkin2020training,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Guessable,"{""sex"": ""sex"", ""race"": ""race"", ""marital-status"": ""marital_status""}",NA
ORG-006-DS-0,Adult,baharlouei2020renyi,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""age"": ""age""}",NA
ORG-006-DS-0,Adult,lohaus2020too,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,martinez2020minimax,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,roh2020frtrain,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,celis2020data,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,cotter2019training,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,gordaliza2019obtaining,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,wang2019repairing,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Yes,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,agarwal2018reductions,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-1,ConfoundedAdult,creager2021exchanging,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Guessable,No,Guessable,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,delobelle2020ethical,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,ogura2020convex,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Yes,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,zafar2017fairness,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,Guessable,Yes,"{""sex"": ""sex"", ""race"": ""race""}",NA
ORG-006-DS-0,Adult,fish2015fair,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,Yes,No,Guessable,"{""sex"": ""sex""}",NA
ORG-006-DS-0,Adult,raff2018gradient,ORG-006,ORG-006-01,fair classification,tabular data,DONE,Yes,No,No,No,NA,NA
