,model,seed,settings,base_rates,hash_train,hash_test,accuracy,balanced accuracy,f1,precision,true positive rate,true negative rate,false positive rate,false negative rate,selection rate,count,equalized_odds_difference,equalized_odds_ratio,demographic_parity_difference,demographic_parity_ratio
KNeighborsUnif,KNeighborsUnif,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9018160629309507,0.7211697455866937,0.529548627268497,0.5794297352342159,0.4875749785775493,0.9547645125958379,0.045235487404162104,0.5124250214224507,0.0953675827911042,10297,0.11409777212256167,0.31073924927493896,0.1828576395720578,0.31687145971193503
KNeighborsDist,KNeighborsDist,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.8954064290570068,0.7149394962415683,0.510676965015902,0.5435203094777563,0.48157669237360756,0.948302300109529,0.051697699890470974,0.5184233076263924,0.10041759735845392,10297,0.10128832892150741,0.3216531152056047,0.18285816008169917,0.32952007970043634
LightGBMXT,LightGBMXT,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9146353306788385,0.744840779336087,0.5824228028503563,0.6535181236673774,0.5252784918594687,0.9644030668127054,0.035596933187294635,0.47472150814053127,0.09109449354180829,10297,0.1955612865111735,0.22445832276353034,0.22491013401041227,0.2577965577656395
LightGBM,LightGBM,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9138584053607847,0.7238500156268918,0.5571642536195707,0.6674641148325359,0.4781491002570694,0.9695509309967141,0.03044906900328587,0.5218508997429306,0.08118869573662232,10297,0.15836561729587262,0.2609006623930483,0.18539859413815923,0.275481809749562
RandomForestGini,RandomForestGini,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9111391667475964,0.7155902882387226,0.5413533834586467,0.6521739130434783,0.46272493573264784,0.9684556407447974,0.03154435925520263,0.5372750642673522,0.08041177041856852,10297,0.16993671964644802,0.2218471965329625,0.19872901955762928,0.2575783797658378
RandomForestEntr,RandomForestEntr,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9106535884238127,0.7097111981461719,0.532994923857868,0.6537982565379825,0.4498714652956298,0.9695509309967141,0.03044906900328587,0.5501285347043702,0.07798387879965038,10297,0.1718453550857182,0.2074822125315584,0.19951897969006083,0.24990965863356887
CatBoost,CatBoost,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9156064873264057,0.7405305259364168,0.5799903334944417,0.6651884700665188,0.5141388174807198,0.9669222343921139,0.03307776560788609,0.48586118251928023,0.08759832961056618,10297,0.1755603776371547,0.2008341709338124,0.22147407636431649,0.25252499227043185
ExtraTreesGini,ExtraTreesGini,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9043410702146256,0.6676620011243853,0.46145434663750684,0.6374622356495468,0.3616109682947729,0.9737130339539978,0.02628696604600219,0.6383890317052271,0.06429057006895213,10297,0.176554458595108,0.16443526381557133,0.19082525415618273,0.21827447607743072
ExtraTreesEntr,ExtraTreesEntr,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.9045353015441391,0.6673978456476056,0.46136986301369864,0.6398176291793313,0.3607540702656384,0.9740416210295728,0.025958378970427163,0.6392459297343616,0.06390210740992522,10297,0.1709364810670181,0.1698416341519394,0.1858778100146749,0.22245479472734583
NeuralNetFastAI,NeuralNetFastAI,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.907060308827814,0.7495375754009259,0.5710443747198566,0.5986842105263158,0.5458440445586975,0.9532311062431544,0.046768893756845564,0.4541559554413025,0.10333106730115568,10297,0.1424122985116788,0.22048005025186332,0.2369363357717475,0.27453513686382464
XGBoost,XGBoost,80539,"{'dataset': 'ORG-017-DS-0', 'protected_attrs': ['age'], 'process_protected': 'age >= 25 and age < 60'}","{(True,): 38927, (False,): 2261}",820808e4400175f896ebc8caea749490,5cbb4c3e6348857af51b22df3d19b4fa,0.912693017383704,0.7467349650999417,0.5801027557216255,0.6375770020533881,0.532133676092545,0.9613362541073385,0.038663745892661555,0.46786632390745503,0.0945906574730504,10297,0.1410686086274867,0.25318862913538154,0.20690744054652127,0.28544755997306037
